"Category";"Name";"Description"
"Veggies";"Garlic UnPeeled-250 gms";"Garlic is a plant in the onion family that's grown for its distinctive taste and health 
benefits. It contains sulphur compounds, which are believed to bring some of the 
health benefits."
"Veggies";"Ginger-100 gms";"Ginger is a flowering plant whose rhizome,ginger root or ginger, is widely used as a
spice and folk medicine. It is available fresh and dried, as ginger extract and ginger oil,
and tinctures, capsules and lozenges. It has long been used for culinary and medicinal
purpose. It reduces nausea, pain and inflammation."
"Fruits";"Kiwi-Pack of 2";"Mainly originated from New Zealand, oval shaped, has a thin hair like fibrous, sour but 
edible light brown skin and black edible seed inside. "
"Veggies";"Lemon-4 pcs";"Lemons are high in Vitamin C, a powerful antioxidant. Lemon juice can be used in teas, 
desserts and on salads."
"Exotics";"Mushroom (Button)-200 gms";"Mushrooms are fleshy and edible fruit bodies of several species of macrofungi. A 
commonly eaten mushroom is a white mushroom having carbohydrates, protein, fat,riboflavin, niacin and pantothenic acid."
"Veggies";"Onion-1 Kg";"Onions are a staple in kitchens around the world and packed with nutrients and plant 
compounds with powerful health effects. It is mostly red in colour and high content of 
antioxidants and sulphur containing compounds. It helps to reduce risk of cancer,
lower blood sugar levels and improve bone health"
"Fruits";"Pomegranate-pack of 2";"Pomegranate is loaded with a lot of nutrients. The seeds are red in colour. It contains 
vitamin C & acting as a antioxidants. It helps to prevent cancer, heart disease and 
improves digestion, regulate blood pressure, improves memory activity, sexual 
activity and fertility."
"Fruits";"Pomegranate-pack of 4";"Pomegranate is loaded with a lot of nutrients. The seeds are red in colour. It contains 
vitamin C & acting as a antioxidants. It helps to prevent cancer, heart disease and 
improves digestion, regulate blood pressure, improves memory activity, sexual 
activity and fertility."
"Veggies";"Potatoes-1 kg";"Potatoes are underground tubers that grow on the roots of the potato plant, solanum 
tuberosum. They are generally eaten boiled, baked or fried. Also used to make french 
fries, potato chips etc. Good source of several vitamins and minerals, particularly 
potassium and vitamin C."
"Veggies";"Red Pumpkin-1 piece";"Mostly eaten as a boiled. Highly nutritious and particularly rich in vitamin A. It improves 
immunity, eye health, healthy skin, heart health and may help lower risk of metabolic
syndrome."
"Veggies";"Sambhar Onion-250 gms";"Sambhar onion is very popular in south india for making sambhar."
"Veggies";"Sambhar Onion-500 gms";"Sambhar onion is very popular in south india for making sambhar."
"Veggies";"Suran-1 piece";"Suran is the edible bulb or corm of a very unique looking single stalked flowering plant.
It is the powerhouse of nutrients. It contains high carbohydrates, protein, vitamins,
antioxidants, minerals and dietary fibres."
"Veggies";"Sweet Corn shelled-200 gms";"Sweet corn is hybridized variety of maize with a high sugar content. It is rich in fiber, many 
vitamins , minerals and antioxidants."
"Fruits";"Sweet Tamarind-250 gms";"Tamarind is a fruit having antioxidant polyphenols and anti-inflammatory properties.
They can protect against disease such as heart disease, cancer and diabetes."
"Veggies";"Beans Cluster-250 gms";"Cluster bean is a legume crop and it is also known as Gavar. It is eaten as a green bean and it is beneficial for cardio health, great for diabetes, help make bone strong, better blood circulation, good during pregancy, manage blood pressure."
"Veggies";"Beans Cluster-500 gms";"Cluster bean is a legume crop and it is also known as Gavar. It is eaten as a green bean and it is beneficial for cardio health, great for diabetes, help make bone strong, better blood circulation, good during pregancy, manage blood pressure."
"Veggies";"Bitter Gourd-250 gms";"It is very bitter in taste but rich source of vitamins, iron, magnesium, potassium, zinc, manganese,dietary fiber etc. It has several health benefits like it manages diabetes, improve gut health, boost immunity, protect against cancer, treat obesity, blood purifier, beautifies the skin, regulate cholesterol, add shine to hair."
"Veggies";"Bitter Gourd-500 gms";"It is very bitter in taste but rich source of vitamins, iron, magnesium, potassium, zinc, manganese,dietary fiber etc. It has several health benefits like it manages diabetes, improve gut health, boost immunity, protect against cancer, treat obesity, blood purifier, beautifies the skin, regulate cholesterol, add shine to hair."
"Veggies";"Capsicum Green-250 gms";"Capsicum is a 'spicy' commonly called as chilli peppers. Capsicum is a good source of vitamin A and C, dietary fiber, vitamin E, B6 and folate. The health benefits are relief from stomach issues, back pain, muscle spasms, headache, skin aging , peptic ulcers, menopausal problems, lower risk of cardiovascular diseases and diabetes."
"Veggies";"Capsicum Green-500 gms";"Capsicum is a 'spicy' commonly called as chilli peppers. Capsicum is a good source of vitamin A and C, dietary fiber, vitamin E, B6 and folate. The health benefits are relief from stomach issues, back pain, muscle spasms, headache, skin aging , peptic ulcers, menopausal problems, lower risk of cardiovascular diseases and diabetes."
"Veggies";"Chilli Dark-100 gms";"Chillies are an imperative ingredient in indian cuisines. This chilli is well-known for its intense pungent taste caused by content Capsaicin. It is valuable source of Vitamin A, B, C, E and P, and minerals such as magnesium, iron, potassium, macronutrients and dietary fibers."
"Veggies";"Chilli Long-100 gms";"Chillies are an imperative ingredient in indian cuisines. It is light green in colour, elongated & pungent taste caused by content Capsaicin. It is valuable source of Vitamin A, B, C, E and P, and minerals such as magnesium, iron, potassium, macronutrients and dietary fibers."
"Veggies";"Cucumber White-500 gms";"This cucumber is white in colour with little rough skin. Cucumbers are widely used in traditional diets as well as spas across the world. It contains high dietary fiber, also provides small amount of vitamin K & C, magnesium, potassium, manganese and vitamin A. Benefits are potential antidiabetic, antioxidant activity, cleansing action of toxins and waste, soothing effects against skin irritation and prevention of constipation."
"Veggies";"Cucumber Green-500 gms";"This cucumber is green in colour with white dotted spines. Cucumbers are widely used in traditional diets as well as spas across the world. It contains high dietary fiber, also provides small amount of vitamin K & C, magnesium, potassium, manganese and vitamin A. Benefits are potential antidiabetic, antioxidant activity, cleansing action of toxins and waste, soothing effects against skin irritation and prevention of constipation."
"Veggies";"Drumsticks-250 gms";"Drumsticks are long, smooth skinned, dark green and three sided. It is naturally 6 to 18 inches in length. Good source of vitamins , protein, iron, magnesium etc. Drumsticks are great for diabetes, fights pimple, good for hair and skin, prevents the outburst of chickenpox, keeps heart healthy and stronger bones."
"Veggies";"Ivy Gourd/Tendli- 250 gms";"Ivy gourd is a popular vegetable in African and Asian Countries. It is used in herbal medicine and in a variety of recipes. Ivy gourd is iron and vitamin B2 rich vegetable support for prevents kidney stones, fatigue, protects the nervous system. It helps to lower blood sugar level, prevent obesity, maintains healthy metabolism."
"Veggies";"Ladies Finger-250 gms";"It is also known as Okra. It is a type of green vegetable, long finger like, having a small tip at the taporing end, measuring about 5-15 cm in length. It is a very low calorie vegetable with rich source of dietary fiber, minerals and vitamins. Healthy benefits are, it contains beneficial antioxidants, may lower heart disease risk, may have anticancer properties, may lower blood sugar, beneficial for pregnant women etc"
"Veggies";"Ladies Finger-500 gms";"It is also known as Okra. It is a type of green vegetable, long finger like, having a small tip at the taporing end, measuring about 5-15 cm in length. It is a very low calorie vegetable with rich source of dietary fiber, minerals and vitamins. Healthy benefits are, it contains beneficial antioxidants, may lower heart disease risk, may have anticancer properties, may lower blood sugar, beneficial for pregnant women etc"
"Veggies";"Onion Half-500 gms";"Onions are a staple in kitchens around the world and packed with nutrients and plant compounds with powerful health effects. It is mostly red in colour 
and high content of antioxidants and sulphur containing compounds. It helps to reduce risk of cancer,lower blood sugar levels and improve bone health"
"Veggies";"Potato Half-500 gms";"Potatoes are underground tubers that grow on the roots of the potato plant, solanum tuberosum. They are generally eaten boiled, baked or fried. Also used to make french fries, potato chips etc. Good source of several vitamins and minerals, particularly potassium and vitamin C."
"Fruits";"Tender Coconut-1 piece";"Tender coconut is naturally sweet and ingratiating. The water of single coconut contains sufficient vitamin C to meet the daily requirement of body. Coconut water is natural energy drink. It is delicious, refreshing and very nutritious and has tremendous health benefits. Health benefits are may have antioxidant properties, may have benefits against diabetes, may help prevent kidney stones, may support heart health, may reduce blood pressure, delicious source of hydration."
"Veggies";"Tomato Half-500 gms";"The Tomato is the edible, often red, berry of the plant solanum lycopersicum. Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer. They are also great source of vitamin C, potassium, folate and vitamin K. It is also beneficial for skin health."
"Veggies";"Tomatoes-1 kg";"The Tomato is the edible, often red, berry of the plant solanum lycopersicum. Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer. They are also great source of vitamin C, potassium, folate and vitamin K. It is also beneficial for skin health."
"Veggies";"Ridge Gourd-250 gms";"It is also called as turai. It is ridged and dark green vegetable with white pulp inside. The taste of the vegetable resembles zucchinis. It is low in saturated fats, cholesterol, high in dietary fiber, vitamin C, riboflavin, zinc, thiamine, iron, magnesium and manganese. Health benefits are lose some weights, overcome jaundice, help treat anemia, prevent cancer, increase the vision of eyes, cure migraine disease, overcome diabetes, maintain skin beauty, maintain brain function etc."
"Veggies";"Snake Gourd-250 gms";"Snake gourd is monoecious and vigorous climbing annual herb having furrowed angled green stem with 3 fid branched tendrils. It is soft skinned, cylindrical long measuring 30 to 180 cms. It is loaded with various nutrients, carbohydrates, proteins and soluble fiber. Vitamins such as vitamin C, vitamin A, riboflavin, thiamine and niacin. It helps to lower fewer, diabetic treatment, prevents heart ailments, eliminate toxins, respiratory health, hair health, prevent lever problems, lower acidity."
"Veggies";"Sweet Corn Cobs-1 pair";"Sweet corn is a hybridized variety of maize with a high sugar content. The fruit of the sweet corn plant is the corn kernel. The ear is a collection of kernels on the cob. The ear is covered by tightly wrapped leaves called the husk. Sweet corn is a special low starch variety with higher sugar content. It is a good source of fiber, protein, vitamins and minerals. Health benefits are good eye health, prevention of diverticular diseases etc."
"Fruits";"Sweet Lime-pack of 2";"Sweet limes are extremely sweet when ripe and without the citric acid. Sweet limes look very similar to regular limes, but sweet limes are more yellowish-green. Limes are sour, round and bright green citrus fruit. Limes are high in vitamin C, antioxidants and other nutrients. Limes may help boost your immunity, reduce heart disease risk factor, prevent kidney stones, aid iron absorption and promote healthy skin."
"Fruits";"Sweet Lime-pack of 4";"Sweet limes are extremely sweet when ripe and without the citric acid. Sweet limes look very similar to regular limes, but sweet limes are more yellowish-green. Limes are sour, round and bright green citrus fruit. Limes are high in vitamin C, antioxidants and other nutrients. Limes may help boost your immunity, reduce heart disease risk factor, prevent kidney stones, aid iron absorption and promote healthy skin."
"Veggies";"Brinjal Kateri purple-250 gms";"The brinjal is a delicate, the stem is often spiny and the egg-shaped, glossy, purple fruit has white flesh with a meaty texture. It is low in saturated fat and cholesterol, good source of vitamin K, B6, folate, potassium and manganese. Also good source of dietary fiber. It prevent cancer, great for wt. loss, prevent heart disease, control blood pressure, good for diabetes, lower cholesterol in the body, good for brain."
"Veggies";"Brinjal Kateri purple-500 gms";"The brinjal is a delicate, the stem is often spiny and the egg-shaped, glossy, purple fruit has white flesh with a meaty texture. It is low in saturated fat and cholesterol, good source of vitamin K, B6, folate, potassium and manganese. Also good source of dietary fiber. It prevent cancer, great for wt. loss, prevent heart disease, control blood pressure, good for diabetes, lower cholesterol in the body, good for brain."
"Veggies";"Cauliflower-1 Piece";"It is an annual plant that reproduces by seed. Typically, only the head is eaten - the edible white flesh sometimes called ""Curd"". Cauliflower is an excellent source of vitamins and minerals, containing some of almost every vitamin and mineral that we need. It contains high amount of fiber, which is important for digestive health and may reduce the risk of several chronic diseases. Having significant amount of antioxidants which are beneficial for reducing inflammation."
"Leafy";"Coriander Leaves-100 gms";"Coriander leaves have a strong odour. They also have Aromatic green leaves that are largely used to flavour and garnish food. Coriander is packed with fiber, magnesium, manganese, protein, & iron. Coriander is packed with fiber, magnesium, manganese, protein, & iron.Coriander is packed with fiber, magnesium, manganese, protein, & iron. The health benefits of Coriander, also called cilantro, are many and include its use in the treatment of skin inflammation, high cholesterol levels, diarrhea, mouth ulcers, anemia,and indigestion. Cilantro is also useful for menstrual disorders, smallpox, conjunctivitis, skin disorders, and blood sugar disorders, whike also benefiting vision."
"Leafy";"Coriander Leaves-200 gms";"Coriander leaves have a strong odour. They also have Aromatic green leaves that are largely used to flavour and garnish food. Coriander is packed with fiber, magnesium, manganese, protein, & iron. Coriander is packed with fiber, magnesium, manganese, protein, & iron.Coriander is packed with fiber, magnesium, manganese, protein, & iron. The health benefits of Coriander, also called cilantro, are many and include its use in the treatment of skin inflammation, high cholesterol levels, diarrhea, mouth ulcers, anemia,and indigestion. Cilantro is also useful for menstrual disorders, smallpox, conjunctivitis, skin disorders, and blood sugar disorders, whike also benefiting vision."
"Veggies";"Flat Beans (Val Papdi)-250 gms";"Flat Beans are known as Val Papdi in the Maharashtra - Goa region, and is quite popular in this region. Flat beans are one of the healthiest vegetables for your heart. A good source of vitamin A, K, C, proteins and folate, flat beans boost your heart health by reducing the risk of iron deficiencies. Vitamin B and folate in this vegetable promote blood cell development, boost energy and keep your brain healthy as well."
"Veggies";"Pumpkin Yellow-1 piece";"Pumpkin is a highly nutrient-dense food. It is rich in vitamins and minerals but low in calories. Pumpkin seeds, leaves, and juices all pack a powerful nutritional punch. Consuming foods rich in beta-carotene may reduce the risk of developing certain types of cancer, offer protection against asthma and heart disease, and delay aging and body degeneration."
"Veggies";"Bottle Gourd-1 Piece";"It is also called as doodhi or lauki. The fruit is harvested young and used as a vegetable. It is low in saturated fat, cholesterol, high in dietary fiber, vitamin C, riboflavin, zinc, thiamine, iron, magnesium and manganese. Health benefits are curing constipation, weight loss, helps in anti-oxidative actions, regulate blood pressure, prevent the risk of heart ailments, hypertension etc"
"Leafy";"Amaranthus Green-1 Piece";"Amaranthus is a green powerhouse. When cooked, amaranth has nutrients like folate, thiamine, niacin, riboflavin, dietary minerals like calcium, iron, potassium, zinc , copper, manganese and vitamins A, C & K. Amaranth seeds are also considered a great source of protein."
"Leafy";"Amaranthus Red-1 Piece";"Amaranthus is one of the amazing vegetable leaves to ever have wandered off the garden of Eden was the Amaranth plant, nature's gift of mankind. Health benefits of red amaranthus leaves include prevention of constipation among other great benefits. Other benefits includes treatment of diarrhea, skin problems healing power, treatment of sores and aching and bleeding gums, treatment of alopecia, source of protein and unsaturated oils, source of dietary fiber etc"
"Leafy";"Bathua Leaves -1 Bunch";"Bathua is prepared just like the other saag preparations and consumed widely for its rich taste and health properties. Bathua is rich in calcium, potassium, magnesium and vitamins A, C and B6. All these micronutrients make bathua incredibly nutritious and a winter diet essential. It plays a good role against indigestion, anemia, dental problems, kidney stones, anthritis etc."
"Leafy";"Chukka Leaves -1 Bunch";"Chukka leaves are medium to large in size and broad, thin, oblong, and arrow-shaped, averaging 6-15 centimeters in length. Chukka leaves look similar to spinach with a smooth texture and dark green surface, but they have thicker and juicer stems. Chukka leaves are high in vitamin C, calcium, magnesium, and potassium. They also contain beta-carotene and lutein. 
"
"Leafy";"Dill Leaves-1 Bunch";"Dill is a delicate herb with fragrant, feathery leaves.  Health benefits of Dill include relief from insomnia, respiratory disorders, and improper menstrual cycle. They also prevent cancer, aid in digestion, cure diarrhea, prevent allergies and osteoporosis, excess gas, and manage diabetes. They are also good for boosting immunity system and improving the bone health. "
"Veggies";"Knol khol -500 gms";"The vegetable has a Greenish-white appearance with round shape familiar to cabbage. Apart from these distinct features long green extrusions that come out as shoots from knol khol. Knol khol is found to be rich in dietary fiber, carotenoids, vitamins A, C, K and the B vitamins. As with the other vegetables in this family, it is rich with various anti-oxidants that protect against colon and prostate cancer."
"Leafy";"Methi Leaves -1 Bunch";" Fenugreek leaves or Methi leaves are one of the most widely used green leafy vegetables. These aromatic, bitter leaves can instantly enhance the flavour of any food and are used in many cuisines, particularly Indian. Fenugreek leaves are rich in fibre and have high amounts of Vitamins and minerals. Health benefits are appetite control, cholesterol levels, heartburn, inflammation etc"
"Leafy";"Mint Leaves-1 Bunch";"Mint leaves are a tender herb with gentle stems. They are best used raw or added at the end of cooking in order to maintain their delicate flavor and texture. Mint is commonly used to flavor Middle Eastern dishes, such as lamb, soups, and vegetable salads. Mint is a calming and soothing herb that has been used for thousands of years to aid with upset stomach or indigestion. Mint is thought to increase bile secretion and encourage bile flow, which helps to speed and ease digestion."
"Leafy";"Palak/Spinach-1 Bunch";"Spinach is a superfood. It is loaded with tons of nutrients in a low-calorie package. Dark, leafy greens like spinach are important for skin, hair, and bone health. They also provide protein, iron, vitamins, and minerals. The possible health benefits of consuming spinach include improving blood glucose control in people with diabetes, lowering the risk of cancer, and improving bone health, as well as supplying minerals and vitamins that can provide a range of different."
"Leafy";"Sarson Leaves -1 Bunch";"Sarson(Mustard) leaves are used to make the famous punjabi delicacy Sarson ka saag. It is the storehouse of many phytonutrients that have health promotional and disease prevention properties. It is very low in calories and fats and containing very good amount of fiber that helps control cholesterol. Also excellent source of vitamin A, vitamin C, calcium, iron, magnesium, potassium, zinc, selenium, and manganese."
"Leafy";"Spring Onion-1 Bunch";"Spring onions are long, tender green leaves with the white bulb at the lower end. Spring onions are an excellent source of vitamin C and calcium. They are also a good source of dietary fibre and vitamins A and B6, thiamine, folate and minerals (potassium, copper, chromium, manganese, iron). Health benefits are reduces the risk of cancer, lowers blood sugar level, aids digestion, maintain good vision, prevents cold and flu etc. "
"Leafy";"White Radish-500 gms";"Radish is an edible root vegetable with a pungent taste and in terms of shape, they can be long, and cylindrical or round. Radishes may be eaten raw, cooked or pickled. This food is very low in Saturated Fat and Cholesterol. It is also a good source of Vitamin B6, Folate, Calcium, Magnesium and Phosphorus, and a very good source of Dietary Fiber, Vitamin C, Iron, Potassium and Copper. Health benefits are relieves jaundice, boosts immunity, aids in digestion, prevents piles, anticancer properties, urinary disorders, weight loss, relieves respiratory disorders etc. "
"Veggies";"Lemongrass-100 gms";"Lemongrass is a tall, perennial grass in a class of 45 species of grasses. It is very low in saturated fat, sodium and cholesterol. It is also good source of folate, magnesium, zinc, copper, iron, potassium and manganese. Benefits are relieving anxiety, lowering cholesterol, preventing infection, boosting oral health, relieving pain, boosting red blood cell levels, relieving boating etc."
"Fruits";"Apple Queen-Pack of 2";"It is originated from New Zealand. The skin is deep red-crimson coloured. These apples are made up of carbohydrates & water along with soluble and insoluble fiber. It also contains Vitamin C, potassium and variety of antioxidants"
"Fruits";"Apple Queen-Pack of 4";"It is originated from New Zealand. The skin is deep red-crimson coloured. These apples are made up of carbohydrates & water along with soluble and insoluble fiber. It also contains Vitamin C, potassium and variety of antioxidants"
"Fruits";"Apple Royal Gala-Pack of 2";"It is originated from New Zealand. These apples are low in calories and rich in dietary fiber and vitamin C. Having no. of health benefits like controlling blood sugar, blood cholesterol, heart disease, cancer etc."
"Fruits";"Apple Royal Gala-Pack of 4";"It is originated from New Zealand. These apples are low in calories and rich in dietary fiber and vitamin C. Having no. of health benefits like controlling blood sugar, blood cholesterol, heart disease, cancer etc."
"Fruits";"Apple Red Delicious-Pack of 2";"It is originated from United States. These apples have a red, tough skin and course texture. Inside, they are sweet and juicy. It is extremely rich in antioxidants, flavonoids & dietary fiber. Helps to reduce the risk of developing cancer, hypertension, diabetes and heart disease"
"Fruits";"Apple Red Delicious-Pack of 4";"It is originated from United States. These apples have a red, tough skin and course texture. Inside, they are sweet and juicy. It is extremely rich in antioxidants, flavonoids & dietary fiber. Helps to reduce the risk of developing cancer, hypertension, diabetes and heart disease"
"Fruits";"Grape Fruit-Pack of 2";"Grapefruit is relatively large sour to semi sweet, somewhat bitter fruit. Grapefruits are low in calories and excellent source of vitamins A and C. It can provide health benefits for the skin, blood pressure, heart health and disease prevention."
"Fruits";"Imported Oranges-Pack of 2";"Orange is a citrus fruit which is oval shaped and good source of vitamin C, thiamine , folate and potassium. Healthy benefits are healthy immune system, prevent skin damage, keeps blood pressure under check, lower cholesterol, controls blood sugar level and lower the risk of cancer."
"Fruits";"Imported Oranges-Pack of 4";"Orange is a citrus fruit which is oval shaped and good source of vitamin C, thiamine , folate and potassium. Healthy benefits are healthy immune system, prevent skin damage, keeps blood pressure under check, lower cholesterol, controls blood sugar level and lower the risk of cancer."
"Fruits";"Imported Pear-Pack of 2";"Sweet, delicious and rich flavoured pears are packed with health benefiting nutrients such as dietary fiber, antioxydants, minerals and vitamins. Pears may help with weight loss and reduce the risk of developing cancer, hypertension, diabetes, and heart disease."
"Fruits";"Imported Pear-Pack of 4";"Sweet, delicious and rich flavoured pears are packed with health benefiting nutrients such as dietary fiber, antioxydants, minerals and vitamins. Pears may help with weight loss and reduce the risk of developing cancer, hypertension, diabetes, and heart disease."
"Fruits";"Plum Imported-250 gms";"Its skin is firm, while the flesh within is juicy and tender. It has a single seed at the center, around which the fruit develops. Plums nutritional facts contain minerals like potassium, fluoride and iron which are required for red blood cell formation. So this makes the heart rate moderate and helps a check on blood pressure. That is why the nutritional benefits of plums provides you a healthy heart."
"Fruits";"Dragon Fruit-1 Piece";"Dragon fruit is known for its unique look and popular among foodies and the health-conscious for its wide range of benefits. It is high in fiber as well as various vitamins and minerals including manganese and iron. Health benefits of dragon fruit include its ability to aid in weight loss, control diabetes, improve digestion, lower cholesterol, and boost energy levels. It may also be protective against certain cancers and heart diseases, defend against bacteria and fungi and optimize the overall functioning of the body."
"Fruits";"Plum Indian-250 gms";"This food is very low in Sodium. It is also a good source of Vitamin C, Vitamin K and Potassium, and a very good source of Dietary Fiber and Vitamin A. Plums are also high in antioxidants, which protect the skin from sun damage. Health benefits are treat constipation, aid diabetes treatment, may help prevent cancer, can protect the heart, promote bone health, promote cognitive health, may boost immunity etc"
"Fruits";"Plum Indian-500 gms";"This food is very low in Sodium. It is also a good source of Vitamin C, Vitamin K and Potassium, and a very good source of Dietary Fiber and Vitamin A. Plums are also high in antioxidants, which protect the skin from sun damage. Health benefits are treat constipation, aid diabetes treatment, may help prevent cancer, can protect the heart, promote bone health, promote cognitive health, may boost immunity etc"
"Fruits";"Papaya-1 Piece";"Papaya is the fruit of the Carica papaya plant. Papaya contains an enzyme called papain, which can break down the tough protein chains found in muscle meat. It is a good source of Vitamin C, folate, vitamin A, magnesium, copper, pantothenic acid, fiber etc. The health benefits of papaya are many and include better digestion, regulated menstruation, stronger immunity, weight loss, improved skin, and better heart health. Papaya, also known as Carica Papaya, pawpaw or papaw is believed to prevent cancer. It’s no wonder that this fruit is quite popular for its high nutritive and medicinal value."
"Veggies";"Baby Potato-250 gms";"Boiled and peeled baby potatoes can be used in variety of recipes like aloo chaat, dum aloo etc. Unpeeled boiled baby potatoes are also used to make variety of subzis. It is excellent source of potassium & vitamin C. Also good source of vitamin B6 and are fat, sodium and cholesterol free."
"Veggies";"Baby Potato-500 gms";"Boiled and peeled baby potatoes can be used in variety of recipes like aloo chaat, dum aloo etc. Unpeeled boiled baby potatoes are also used to make variety of subzis. It is excellent source of potassium & vitamin C. Also good source of vitamin B6 and are fat, sodium and cholesterol free."
"Veggies";"Pointed Gourd-250 gms";"It is also known as Parwal. The fruit is green with white or no stripes. It is a good source of carbohydrate, vitamin A and vitamin C. It also contains major nutrients and trace elements like magnesium, potassium, copper, sulphur and chlorine which are needed in small quantities. Health benefits are blood purifier, reduces flu, improves digestion, fight with aging factors, treats constipation, controls blood sugar and cholesterols, aids in weight loss etc."
"Veggies";"Brinjal Bharta-1 Piece";"It is most commonly purple, spongy, absorbent fruit used in various cuisines. It is usually eaten cooked like the potato. It contains a good amount of vitamins, minerals and fiber in few calories. Also contain small amounts of other nutrients including niacin, magnesium and copper. It is high in antioxidants also. It may reduce the risk of heart disease, may promote blood sugar control, could help with weight loss, may have cancer fighting benefits."
"Veggies";"Long Capsicum-250 gms";"It is also called Bhavnagri mirchi, stuffed with gram flour and dry masalas. Its very famous in Gujarat, Maharashtra and Rajasthan. This Mirchi is not at all bitter or teekhi in taste,these are mild and tangy!The flavor of roasted gram flour is really different as it gives a crunch in every bite and the most important is that they are not deep fried.
"
"Veggies";"French beans-250 gms";"French beans are smaller than common green beans and have a soft, velvety pod. Quite fleshy for their size, only tiny seeds inhabit these delicate pods. French beans are sweet, tender and wonderfully crispy. French beans are delicious. As well as being low in calories and containing no saturated fat, they are a fantastic source of vital nutrients, particularly vitamins C and A, and minerals including iron, calcium and magnesium."
"Exotics";"Broccoli-250 gms";"Broccoli is an edible green plant in the cabbage family. It is known to be hearty and tasty vegetable which is rich in dozens of nutrients. Broccoli is great source of vitamin K & C, folic acid, potassium and fiber. Health benefits are to reduce inflammation in body tissues, protect against cancer, blood sugar control, healthy digestion and reduced constipation, slow mental decline and support healthy brain function, healthy immune system."
"Exotics";"Broccoli-500 gms";"Broccoli is an edible green plant in the cabbage family. It is known to be hearty and tasty vegetable which is rich in dozens of nutrients. Broccoli is great source of vitamin K & C, folic acid, potassium and fiber. Health benefits are to reduce inflammation in body tissues, protect against cancer, blood sugar control, healthy digestion and reduced constipation, slow mental decline and support healthy brain function, healthy immune system."
"Exotics";"Red Cabbage-1 Piece";"The red cabbage is a kind of cabbage, also known as purple cabbage. Its leaves are dark red/purple coloured. It is a good source of fiber, vitamins and minerals, especially vitamin A and potassium. Health benefits are boost immunity, help to lose weight, fights inflammation, boosts metabolism, treats ulcers etc. "
"Exotics";"Zucchini Green-1 piece";"It can be dark or light green. The zucchini originates in Americas. Zucchini contains a variety of vitamins, minerals and beneficial plant compounds. Cooked zucchini is particularly high in vitamin A, though raw zucchini contains slightly less. Zucchini are high in antioxidants, contributes to healthy digestion, may reduce blood sugar levels, may improve heart health, may strengthen your vision, may aid weight loss etc."
"Exotics";"Zucchini Yellow-1 piece";"These are yellow in colour, it contains zero fat and is high in water and fiber. It also contains significant amounts of vitamin B6, riboflavin, folate, C,  & K and minerals like potassium and manganese. The summer squash also contains antioxidant and anti-inflammatory phytonutrients. Health benefits are improves digestion, slow down aging, lower blood sugar levels, supports healthy circulation and healthy heart, improves eye health, boosts energy, weight loss etc."
"Exotics";"Capsicum Red-250 gms";"Bell peppers are fruits that belongs to the nightshade family. They are low in calories and exceptionally rich in vitamin C and other antioxidants. Healthy benefits are eye health, Anemia prevention etc"
